ID_Usuario,Tipo_Prenda,Marca,Medida_Pecho_cm,Medida_Cintura_cm,Medida_Cadera_cm,Altura_cm,Peso_kg,Edad,Talla_Ropa_General,Talla_Zapatillas,Talla_Pantalones,Feedback_Ajuste
229,Camiseta,Springfield,97,83,99,175,70,27,L,N/A,N/A,Perfecto
230,Pantalón,Adidas,N/A,89,103,177,76,34,N/A,N/A,32x32,Demasiado ajustado
231,Vestido,Zara,95,79,97,172,66,28,M,N/A,N/A,Perfecto
232,Zapatillas,Puma,N/A,N/A,N/A,180,81,30,N/A,43 EU,N/A,Perfecto
233,Camiseta,Ralph Lauren,93,78,95,170,65,26,M,N/A,N/A,Perfecto
234,Pantalón,Massimo Dutti,N/A,85,100,173,71,33,N/A,N/A,31x32,Perfecto
235,Vestido,Pull&Bear,87,71,89,163,57,21,S,N/A,N/A,Demasiado grande
236,Zapatillas,Dr. Martens,N/A,N/A,N/A,181,83,29,N/A,44 EU,N/A,Perfecto
237,Camiseta,Levi's,100,87,102,178,77,35,L,N/A,N/A,Perfecto
238,Pantalón,Nike,N/A,91,105,176,79,32,N/A,N/A,33x32,Demasiado ajustado
239,Vestido,Women'secret,89,73,91,165,59,22,S,N/A,N/A,Perfecto
240,Zapatillas,Vans,N/A,N/A,N/A,183,86,27,N/A,45 EU,N/A,Perfecto
241,Camiseta,Springfield,96,82,98,174,69,28,L,N/A,N/A,Perfecto
242,Pantalón,Zara,N/A,84,99,171,67,26,N/A,N/A,30x30,Perfecto
243,Vestido,Mango,92,76,94,169,62,24,M,N/A,N/A,Perfecto
244,Zapatillas,Guess,N/A,N/A,N/A,175,70,30,N/A,40 EU,N/A,Perfecto
245,Camiseta,H&M,94,79,96,172,68,27,M,N/A,N/A,Perfecto
246,Pantalón,Massimo Dutti,N/A,87,102,175,74,33,N/A,N/A,32x32,Perfecto
247,Vestido,Zara,88,72,90,164,58,21,S,N/A,N/A,Perfecto
248,Zapatillas,Adidas,N/A,N/A,N/A,180,82,29,N/A,43 EU,N/A,Perfecto
249,Camiseta,Springfield,91,76,93,168,63,25,M,N/A,N/A,Demasiado ajustado
250,Pantalón,Mango,N/A,90,104,177,78,34,M,N/A,N/A,Perfecto
251,Camiseta,Uniqlo,95,80,97,172,69,28,M,N/A,N/A,Perfecto
252,Pantalón,Zara Men,N/A,86,101,175,73,34,N/A,N/A,31x32,Perfecto
253,Vestido,Bimba y Lola,90,74,92,168,61,23,M,N/A,N/A,Perfecto
254,Zapatillas,New Balance,N/A,N/A,N/A,180,78,30,N/A,42 EU,N/A,Perfecto
255,Camiseta,Tommy Hilfiger,103,90,105,182,83,37,XL,N/A,N/A,Perfecto
256,Pantalón,H&M Men,N/A,85,100,174,71,30,N/A,N/A,32x30,Demasiado ajustado
257,Vestido,Desigual,91,75,93,167,60,26,M,N/A,N/A,Perfecto
258,Zapatillas,Converse,N/A,N/A,N/A,183,88,29,N/A,44 EU,N/A,Perfecto
259,Camiseta,Adidas,88,72,90,165,58,22,S,N/A,N/A,Demasiado grande
260,Pantalón,Pull&Bear Men,N/A,90,104,177,78,35,N/A,N/A,34x32,Perfecto
261,Vestido,Bershka,87,71,89,163,57,21,S,N/A,N/A,Perfecto
262,Zapatillas,Puma,N/A,N/A,N/A,176,73,26,N/A,40 EU,N/A,Perfecto
263,Camiseta,Calvin Klein,98,84,100,176,72,39,L,N/A,N/A,Perfecto
264,Pantalón,Columbia,N/A,92,106,179,81,42,N/A,N/A,34x32,Perfecto
265,Vestido,Stradivarius,85,68,88,160,55,20,S,N/A,N/A,Perfecto
266,Zapatillas,Reebok,N/A,N/A,N/A,179,77,31,N/A,41 EU,N/A,Demasiado ajustado
267,Camiseta,Nike,96,82,98,174,71,35,L,N/A,N/A,Perfecto
268,Pantalón,Springfield Men,N/A,87,102,175,73,30,N/A,N/A,32x30,Demasiado grande
269,Vestido,Oysho,94,78,96,173,65,25,M,N/A,N/A,Perfecto
270,Zapatillas,Vans,N/A,N/A,N/A,181,82,28,N/A,43 EU,N/A,Perfecto
271,Camiseta,Zara,90,75,92,167,61,25,M,N/A,N/A,Perfecto
272,Pantalón,Levi's,N/A,82,97,170,68,31,N/A,N/A,31x30,Demasiado ajustado
273,Vestido,H&M,91,76,94,169,63,23,M,N/A,N/A,Perfecto
274,Zapatillas,Nike,N/A,N/A,N/A,178,74,32,N/A,42 EU,N/A,Perfecto
275,Camiseta,Hugo Boss,99,86,101,177,78,36,L,N/A,N/A,Perfecto
276,Pantalón,Dockers,N/A,93,107,184,85,39,N/A,N/A,34x32,Demasiado grande
277,Vestido,Mango,86,69,89,161,54,20,S,N/A,N/A,Perfecto
278,Zapatillas,Clarks,N/A,N/A,N/A,174,68,47,N/A,39 EU,N/A,Perfecto
279,Camiseta,Springfield,97,83,99,175,70,27,L,N/A,N/A,Perfecto
280,Pantalón,Adidas,N/A,89,103,177,76,34,N/A,N/A,32x32,Demasiado ajustado
281,Vestido,Zara,95,79,97,172,66,28,M,N/A,N/A,Perfecto
282,Zapatillas,Puma,N/A,N/A,N/A,180,81,30,N/A,43 EU,N/A,Perfecto
283,Camiseta,Ralph Lauren,93,78,95,170,65,26,M,N/A,N/A,Perfecto
284,Pantalón,Massimo Dutti,N/A,85,100,173,71,33,N/A,N/A,31x32,Perfecto
285,Vestido,Pull&Bear,87,71,89,163,57,21,S,N/A,N/A,Demasiado grande
286,Zapatillas,Dr. Martens,N/A,N/A,N/A,181,83,29,N/A,44 EU,N/A,Perfecto
287,Camiseta,Levi's,100,87,102,178,77,35,L,N/A,N/A,Perfecto
288,Pantalón,Nike,N/A,91,105,176,79,32,N/A,N/A,33x32,Demasiado ajustado
289,Vestido,Women'secret,89,73,91,165,59,22,S,N/A,N/A,Perfecto
290,Zapatillas,Vans,N/A,N/A,N/A,183,86,27,N/A,45 EU,N/A,Perfecto
291,Camiseta,Springfield,96,82,98,174,69,28,L,N/A,N/A,Perfecto
292,Pantalón,Zara,N/A,84,99,171,67,26,N/A,N/A,30x30,Perfecto
293,Vestido,Mango,92,76,94,169,62,24,M,N/A,N/A,Perfecto
294,Zapatillas,Guess,N/A,N/A,N/A,175,70,30,N/A,40 EU,N/A,Perfecto
295,Camiseta,H&M,94,79,96,172,68,27,M,N/A,N/A,Perfecto
296,Pantalón,Massimo Dutti,N/A,87,102,175,74,33,N/A,N/A,32x32,Perfecto
297,Vestido,Zara,88,72,90,164,58,21,S,N/A,N/A,Perfecto
298,Zapatillas,Adidas,N/A,N/A,N/A,180,82,29,N/A,43 EU,N/A,Perfecto
299,Camiseta,Springfield,91,76,93,168,63,25,M,N/A,N/A,Demasiado ajustado
300,Pantalón,Mango,N/A,90,104,177,78,34,M,N/A,N/A,Perfecto
301,Camiseta,Uniqlo,102,90,105,182,83,37,XL,N/A,N/A,Perfecto
302,Pantalón,Zara Men,N/A,92,106,179,81,39,34x32,N/A,34x32,Perfecto
303,Vestido,Bimba y Lola,91,75,93,167,60,26,M,N/A,N/A,Perfecto
304,Zapatillas,New Balance,N/A,N/A,N/A,176,73,33,40 EU,40 EU,N/A,Demasiado grande
305,Camiseta,Tommy Hilfiger,98,84,100,175,72,40,L,N/A,N/A,Perfecto
306,Pantalón,H&M Men,N/A,80,95,170,68,28,30x30,N/A,30x30,Demasiado ajustado
307,Vestido,Desigual,95,78,97,172,64,31,L,N/A,N/A,Perfecto
308,Zapatillas,Converse,N/A,N/A,N/A,188,95,29,46 EU,46 EU,N/A,Perfecto
309,Camiseta,Adidas,87,70,88,164,57,21,S,N/A,N/A,Demasiado grande
310,Pantalón,Pull&Bear Men,N/A,85,100,173,70,30,32x30,N/A,32x30,Perfecto
311,Vestido,Bershka,90,74,92,168,61,24,M,N/A,N/A,Perfecto
312,Zapatillas,Puma,N/A,N/A,N/A,174,69,26,39 EU,39 EU,N/A,Perfecto
313,Camiseta,Calvin Klein,105,92,108,185,88,42,XL,N/A,N/A,Perfecto
314,Pantalón,Columbia,N/A,98,110,180,86,44,38x34,N/A,38x34,Perfecto
315,Vestido,Stradivarius,86,69,89,161,54,20,S,N/A,N/A,Perfecto
316,Zapatillas,Reebok,N/A,N/A,N/A,177,75,32,41 EU,41 EU,N/A,Demasiado ajustado
317,Camiseta,Nike,100,88,102,178,79,35,L,N/A,N/A,Perfecto
318,Pantalón,Springfield Men,N/A,82,97,169,67,27,31x30,N/A,31x30,Demasiado grande
319,Vestido,Oysho,92,76,94,171,63,25,M,N/A,N/A,Perfecto
320,Zapatillas,Vans,N/A,N/A,N/A,186,90,28,45 EU,45 EU,N/A,Perfecto
321,Camiseta,Zara,98,85,100,176,74,36,L,N/A,N/A,Perfecto
322,Pantalón,Levi's,N/A,90,105,181,80,38,33x32,N/A,33x32,Perfecto
323,Vestido,H&M,90,74,92,169,62,24,M,N/A,N/A,Perfecto
324,Zapatillas,Nike,N/A,N/A,N/A,175,70,31,43 EU,43 EU,N/A,Demasiado ajustado
325,Camiseta,Hugo Boss,103,92,108,184,87,43,XL,N/A,N/A,Perfecto
326,Pantalón,Dockers,N/A,88,102,173,75,30,32x30,N/A,32x30,Demasiado grande
327,Vestido,Mango,87,70,90,162,56,21,S,N/A,N/A,Perfecto
328,Zapatillas,Clarks,N/A,N/A,N/A,180,78,48,42 EU,42 EU,N/A,Perfecto
329,Camiseta,Springfield,95,80,97,172,69,27,L,N/A,N/A,Perfecto
330,Pantalón,Adidas,N/A,94,109,178,82,34,34x32,N/A,34x32,Perfecto
331,Vestido,Zara,93,77,95,170,64,26,M,N/A,N/A,Perfecto
332,Zapatillas,Puma,N/A,N/A,N/A,182,85,29,44 EU,44 EU,N/A,Perfecto
333,Camiseta,Ralph Lauren,89,73,91,166,59,37,S,N/A,N/A,Demasiado ajustado
334,Pantalón,Massimo Dutti,N/A,86,101,177,76,40,33x30,N/A,33x30,Perfecto
335,Vestido,Pull&Bear,91,75,93,168,61,23,M,N/A,N/A,Perfecto
336,Zapatillas,Dr. Martens,N/A,N/A,N/A,176,72,30,40 EU,40 EU,N/A,Demasiado ajustado
337,Camiseta,Levi's,101,89,104,179,80,35,XL,N/A,N/A,Perfecto
338,Pantalón,Nike,N/A,81,96,170,66,28,30x32,N/A,30x32,Perfecto
339,Vestido,Women'secret,85,68,88,160,55,20,S,N/A,N/A,Perfecto
340,Zapatillas,Vans,N/A,N/A,N/A,185,89,27,45 EU,45 EU,N/A,Perfecto
341,Camiseta,Uniqlo,94,79,96,171,68,29,M,N/A,N/A,Perfecto
342,Pantalón,Zara Men,N/A,85,100,173,70,36,31x32,N/A,31x32,Demasiado ajustado
343,Vestido,Bimba y Lola,87,71,89,163,57,22,S,N/A,N/A,Perfecto
344,Zapatillas,New Balance,N/A,N/A,N/A,180,78,34,42 EU,42 EU,N/A,Perfecto
345,Camiseta,Tommy Hilfiger,100,86,102,177,76,41,L,N/A,N/A,Demasiado grande
346,Pantalón,H&M Men,N/A,91,104,176,79,33,32x30,N/A,32x30,Perfecto
347,Vestido,Desigual,89,74,91,166,60,25,M,N/A,N/A,Perfecto
348,Zapatillas,Converse,N/A,N/A,N/A,183,88,30,44 EU,44 EU,N/A,Perfecto
349,Camiseta,Adidas,96,82,98,174,71,28,L,N/A,N/A,Perfecto
350,Pantalón,Pull&Bear Men,N/A,83,98,172,69,26,30x32,N/A,30x32,Perfecto
351,Vestido,Bershka,92,76,94,169,63,24,M,N/A,N/A,Perfecto
352,Zapatillas,Puma,N/A,N/A,N/A,171,65,29,39 EU,39 EU,N/A,Demasiado ajustado
353,Camiseta,Calvin Klein,91,77,93,168,64,39,M,N/A,N/A,Demasiado grande
354,Pantalón,Columbia,N/A,96,109,182,84,43,36x34,N/A,36x34,Perfecto
355,Vestido,Stradivarius,88,72,90,165,58,21,S,N/A,N/A,Perfecto
356,Zapatillas,Reebok,N/A,N/A,N/A,179,77,32,41 EU,41 EU,N/A,Perfecto
357,Camiseta,Nike,104,91,106,183,86,37,XL,N/A,N/A,Perfecto
358,Pantalón,Springfield Men,N/A,87,102,175,73,30,32x30,N/A,32x30,Perfecto
359,Vestido,Oysho,94,78,96,173,65,26,L,N/A,N/A,Perfecto
360,Zapatillas,Vans,N/A,N/A,N/A,181,82,28,43 EU,43 EU,N/A,Perfecto
361,Camiseta,Zara,90,75,92,167,61,25,M,N/A,N/A,Perfecto
362,Pantalón,Levi's,N/A,82,97,170,68,31,31x30,N/A,31x30,Demasiado ajustado
363,Vestido,H&M,91,76,94,169,63,23,M,N/A,N/A,Perfecto
364,Zapatillas,Nike,N/A,N/A,N/A,178,74,32,42 EU,42 EU,N/A,Perfecto
365,Camiseta,Hugo Boss,99,86,101,177,78,36,L,N/A,N/A,Perfecto
366,Pantalón,Dockers,N/A,93,107,184,85,39,34x32,N/A,34x32,Demasiado grande
367,Vestido,Mango,86,69,89,161,54,20,S,N/A,N/A,Perfecto
368,Zapatillas,Clarks,N/A,N/A,N/A,174,68,47,39 EU,39 EU,N/A,Perfecto
369,Camiseta,Springfield,97,83,99,175,70,27,L,N/A,N/A,Perfecto
370,Pantalón,Adidas,N/A,89,103,177,76,34,32x32,N/A,32x32,Demasiado ajustado
371,Vestido,Zara,95,79,97,172,66,28,M,N/A,N/A,Perfecto
372,Zapatillas,Puma,N/A,N/A,N/A,180,81,30,43 EU,43 EU,N/A,Perfecto
373,Camiseta,Ralph Lauren,93,78,95,170,65,26,M,N/A,N/A,Perfecto
374,Pantalón,Massimo Dutti,N/A,85,100,173,71,33,31x32,N/A,31x32,Perfecto
375,Vestido,Pull&Bear,87,71,89,163,57,21,S,N/A,N/A,Demasiado grande
376,Zapatillas,Dr. Martens,N/A,N/A,N/A,181,83,29,44 EU,44 EU,N/A,Perfecto
377,Camiseta,Levi's,100,87,102,178,77,35,L,N/A,N/A,Perfecto
378,Pantalón,Nike,N/A,91,105,176,79,32,33x32,N/A,33x32,Demasiado ajustado
379,Vestido,Women'secret,89,73,91,165,59,22,S,N/A,N/A,Perfecto
380,Zapatillas,Vans,N/A,N/A,N/A,183,86,27,45 EU,45 EU,N/A,Perfecto
381,Camiseta,Springfield,96,82,98,174,69,28,L,N/A,N/A,Perfecto
382,Pantalón,Zara,N/A,84,99,171,67,26,30x30,N/A,30x30,Perfecto
383,Vestido,Mango,92,76,94,169,62,24,M,N/A,N/A,Perfecto
384,Zapatillas,Guess,N/A,N/A,N/A,175,70,30,40 EU,40 EU,N/A,Perfecto
385,Camiseta,H&M,94,79,96,172,68,27,M,N/A,N/A,Perfecto
386,Pantalón,Massimo Dutti,N/A,87,102,175,74,33,32x32,N/A,32x32,Perfecto
387,Vestido,Zara,88,72,90,164,58,21,S,N/A,N/A,Perfecto
388,Zapatillas,Adidas,N/A,N/A,N/A,180,82,29,43 EU,43 EU,N/A,Perfecto
389,Camiseta,Springfield,91,76,93,168,63,25,M,N/A,N/A,Demasiado ajustado
390,Pantalón,Mango,N/A,90,104,177,78,34,34x32,N/A,34x32,Perfecto
391,Vestido,Uniqlo,97,80,98,173,67,29,L,N/A,N/A,Perfecto
392,Zapatillas,New Balance,N/A,N/A,N/A,181,84,31,44 EU,44 EU,N/A,Perfecto
393,Camiseta,Tommy Hilfiger,102,90,105,182,83,37,XL,N/A,N/A,Perfecto
394,Pantalón,H&M Men,N/A,85,100,174,71,30,31x30,N/A,31x30,Perfecto
395,Vestido,Desigual,89,74,91,166,60,25,M,N/A,N/A,Demasiado grande
396,Zapatillas,Converse,N/A,N/A,N/A,179,77,29,42 EU,42 EU,N/A,Perfecto
397,Camiseta,Adidas,95,81,97,171,68,28,M,N/A,N/A,Perfecto
398,Pantalón,Pull&Bear Men,N/A,92,106,178,80,35,34x32,N/A,34x32,Perfecto
399,Vestido,Bershka,88,72,90,165,58,22,S,N/A,N/A,Perfecto
400,Zapatillas,Puma,N/A,N/A,N/A,176,73,31,40 EU,40 EU,N/A,Demasiado ajustado
401,Camiseta,Calvin Klein,100,86,101,177,76,36,L,N/A,N/A,Perfecto
402,Pantalón,Columbia,N/A,89,103,175,79,32,32x30,N/A,32x30,Perfecto
403,Vestido,Stradivarius,90,75,92,168,61,25,M,N/A,N/A,Perfecto
404,Zapatillas,Reebok,N/A,N/A,N/A,184,87,30,45 EU,45 EU,N/A,Perfecto
405,Camiseta,Nike,93,78,95,170,66,26,M,N/A,N/A,Demasiado ajustado
406,Pantalón,Springfield Men,N/A,83,98,172,69,29,31x32,N/A,31x32,Perfecto
407,Vestido,Oysho,91,76,94,169,63,24,M,N/A,N/A,Perfecto
408,Zapatillas,Vans,N/A,N/A,N/A,186,90,28,46 EU,46 EU,N/A,Perfecto
409,Camiseta,Zara,97,83,99,175,70,27,L,N/A,N/A,Perfecto
410,Pantalón,Levi's,N/A,80,95,168,65,31,30x30,N/A,30x30,Demasiado grande
411,Vestido,H&M,86,69,89,161,54,20,S,N/A,N/A,Perfecto
412,Zapatillas,Nike,N/A,N/A,N/A,173,69,26,39 EU,39 EU,N/A,Perfecto
413,Camiseta,Hugo Boss,105,92,108,185,88,40,XL,N/A,N/A,Perfecto
414,Pantalón,Dockers,N/A,98,110,180,86,37,36x34,N/A,36x34,Perfecto
415,Vestido,Mango,94,78,96,171,64,28,L,N/A,N/A,Perfecto
416,Zapatillas,Clarks,N/A,N/A,N/A,178,75,32,41 EU,41 EU,N/A,Demasiado ajustado
417,Camiseta,Springfield,89,74,91,166,60,23,M,N/A,N/A,Perfecto
418,Pantalón,Adidas,N/A,90,104,176,80,35,32x32,N/A,32x32,Perfecto
419,Vestido,Zara,87,71,89,163,57,21,S,N/A,N/A,Perfecto
420,Zapatillas,Puma,N/A,N/A,N/A,183,88,29,45 EU,45 EU,N/A,Perfecto
421,Camiseta,Uniqlo,99,85,100,177,75,30,L,N/A,N/A,Perfecto
422,Pantalón,Zara Men,N/A,93,107,180,82,36,34x32,N/A,34x32,Perfecto
423,Vestido,Bimba y Lola,91,75,93,167,60,25,M,N/A,N/A,Perfecto
424,Zapatillas,New Balance,N/A,N/A,N/A,175,71,28,40 EU,40 EU,N/A,Demasiado grande
425,Camiseta,Tommy Hilfiger,94,79,96,171,68,33,M,N/A,N/A,Perfecto
426,Pantalón,H&M Men,N/A,81,96,169,67,27,30x30,N/A,30x30,Demasiado ajustado
427,Vestido,Desigual,90,74,92,168,61,24,M,N/A,N/A,Perfecto
428,Zapatillas,Converse,N/A,N/A,N/A,182,85,31,44 EU,44 EU,N/A,Perfecto
429,Camiseta,Adidas,101,88,103,179,79,35,L,N/A,N/A,Demasiado grande
430,Pantalón,Pull&Bear Men,N/A,87,102,173,70,29,32x30,N/A,32x30,Perfecto
431,Vestido,Bershka,85,68,88,160,55,20,S,N/A,N/A,Perfecto
432,Zapatillas,Puma,N/A,N/A,N/A,178,75,30,41 EU,41 EU,N/A,Demasiado ajustado
433,Camiseta,Calvin Klein,104,91,106,183,86,41,XL,N/A,N/A,Perfecto
434,Pantalón,Columbia,N/A,95,108,177,80,37,36x32,N/A,36x32,Perfecto
435,Vestido,Stradivarius,88,72,90,165,58,22,S,N/A,N/A,Perfecto
436,Zapatillas,Reebok,N/A,N/A,N/A,180,82,32,43 EU,43 EU,N/A,Perfecto
437,Camiseta,Nike,92,77,94,170,65,28,M,N/A,N/A,Perfecto
438,Pantalón,Springfield Men,N/A,84,99,171,67,26,31x32,N/A,31x32,Demasiado grande
439,Vestido,Oysho,90,75,92,168,61,25,M,N/A,N/A,Perfecto
440,Zapatillas,Vans,N/A,N/A,N/A,184,87,30,45 EU,45 EU,N/A,Perfecto
441,Camiseta,Zara,96,82,98,174,69,27,L,N/A,N/A,Perfecto
442,Pantalón,Levi's,N/A,89,103,176,76,34,32x32,N/A,32x32,Demasiado ajustado
443,Vestido,H&M,93,77,95,170,64,24,M,N/A,N/A,Perfecto
444,Zapatillas,Nike,N/A,N/A,N/A,175,70,29,40 EU,40 EU,N/A,Perfecto
445,Camiseta,Hugo Boss,100,86,101,177,78,35,L,N/A,N/A,Perfecto
446,Pantalón,Dockers,N/A,91,105,181,80,38,33x32,N/A,33x32,Perfecto
447,Vestido,Mango,87,71,89,163,57,21,S,N/A,N/A,Demasiado grande
448,Zapatillas,Clarks,N/A,N/A,N/A,178,75,49,42 EU,42 EU,N/A,Perfecto
449,Camiseta,Springfield,98,84,100,176,72,29,L,N/A,N/A,Perfecto
450,Pantalón,Adidas,N/A,96,109,178,82,36,34x32,N/A,34x32,Perfecto
451,Vestido,Zara,95,79,97,172,66,28,M,N/A,N/A,Perfecto
452,Zapatillas,Puma,N/A,N/A,N/A,180,81,30,43 EU,43 EU,N/A,Perfecto
453,Camiseta,Ralph Lauren,91,76,93,169,63,25,M,N/A,N/A,Perfecto
454,Pantalón,Massimo Dutti,N/A,83,98,172,69,32,31x30,N/A,31x30,Perfecto
455,Vestido,Pull&Bear,89,73,91,166,60,23,S,N/A,N/A,Demasiado ajustado
